법정동,지번,단지명,거래연도,전용면적,구별,가격,주소지,위도,경도
평창동,595,갑을아파트,2021,30.46,종로구,1.9,종로구평창동595,37.60471964779909,126.96359892641924
신림동,255-189,현대,2017,84.44,관악구,3.26,관악구신림동255-189,37.46388802438711,126.93728882347084
대방동,377-1,대방홈타운,2016,69.3,동작구,3.31,동작구대방동377-1,37.50392518469346,126.92437203940912
목동,911,목동신시가지6,2024,65.1,양천구,18.8,양천구목동911,37.53456897919345,126.8850679897944
화곡동,1091,화곡푸르지오,2014,104.75,강서구,4.9,강서구화곡동1091,37.54450785686731,126.83144814058868
목동,940,현대I-PARK,2018,82.81,양천구,6.46,양천구목동940,37.52898537015568,126.86489741630216
서초동,1648-2,서초현대,2017,84.78,서초구,8.5,서초구서초동1648-2,37.49101369318194,127.0201407876704
압구정동,456,"현대7차(73~77,82,85동)",2020,157.36,강남구,41.9,강남구압구정동456,37.529297514841936,127.028870780361
교북동,101,동아,2020,99.29,종로구,8.77,종로구교북동101,37.57143308432599,126.96208911955736
상계동,637,상계주공13(고층),2023,45.9,노원구,3.495,노원구상계동637,37.667754932019015,127.06293783650467
가락동,165,래미안파크팰리스,2017,114.756,송파구,9.6,송파구가락동165,37.498149334771966,127.132058978854
개포동,141,개포주공1단지,2017,49.56,강남구,12.8,강남구개포동141,37.47848912432782,127.0616140791732
신공덕동,174,공덕아이파크,2021,84.96,마포구,14.7,마포구신공덕동174,37.54474742766304,126.95599070737036
현저동,200,독립문극동(200-0),2016,84.87,서대문구,5.4,서대문구현저동200,37.57213304695084,126.95664127040746
하월곡동,226,월곡래미안루나밸리,2015,84.88,성북구,4.99,성북구하월곡동226,37.59916542569752,127.04213209275504
종암동,80,래미안크리시엘,2014,59.99,성북구,3.09,성북구종암동80,37.60107601258713,127.03007674706409
도곡동,963,럭키(963),2015,84.97,강남구,8.4,강남구도곡동963,37.49050871593535,127.03994570958604
수서동,746,까치마을,2015,49.5,강남구,5.325,강남구수서동746,37.48477890538922,127.0876929744166
월계동,13,삼호3,2016,59.22,노원구,3.49,노원구월계동13,37.62446550151739,127.06532275909716
월계동,949,꿈의숲SKVIEW,2019,59.92,노원구,6.0,노원구월계동949,37.6218321446766,127.05368615843756
구로동,796-16,(796-16),2023,42.56,구로구,1.63,구로구구로동796-16,37.48527946340143,126.88925138214032
망원동,497,대림2,2015,59.99,마포구,4.05,마포구망원동497,37.55730775345725,126.89932279160656
회기동,65,신현대,2014,84.96,동대문구,3.12,동대문구회기동65,37.5895470354422,127.05168548756455
구로동,1271,보람쉬움,2015,81.0944,구로구,3.45,구로구구로동1271,37.4866719294747,126.89756483635226
무악동,88,인왕산2차아이파크,2017,84.2427,종로구,6.5,종로구무악동88,37.57568807503511,126.9596689195726
풍납동,508,한강극동,2015,59.26,송파구,3.675,송파구풍납동508,37.52955792025303,127.11288628670212
대흥동,12-41,서희스타힐스,2018,12.85,마포구,2.0,마포구대흥동12-41,37.55406814614321,126.94099720351156
옥수동,561,래미안 옥수 리버젠,2014,84.73,성동구,7.0,성동구옥수동561,37.545136967633496,127.01371464652676
창동,45,삼성래미안,2014,66.48,도봉구,3.25,도봉구창동45,37.6491531796937,127.04849736406264
방배동,1008-2,래미안방배아트힐(1008-2),2020,127.61,서초구,17.9,서초구방배동1008-2,37.477701880173605,127.00513710258542
신림동,1563-2,태양,2015,48.99,관악구,1.2,관악구신림동1563-2,37.47426894206248,126.9139407982288
